model,error,dataset
transformer,0.07182313731847784,electricity
transformer,0.142111367078107,traffic
transformer,0.08146593395272377,m4_hourly
transformer,0.06634347916965506,m4_daily
transformer,0.1550534122209464,m4_weekly
transformer,0.08146593395272377,m4_monthly
transformer,0.41235386561468945,solar-energy
Hopfield,0.115279147375706,electricity
Hopfield,0.188812793041455,traffic
Hopfield,0.112874880178267,m4_hourly
Hopfield,0.0347693948790352,m4_daily
Hopfield,0.0729582891046101,m4_weekly
Hopfield,0.158995917451162,m4_quarterly
Hopfield,0.479306585884482,solar-energy
switch,0.11605724268008008,electricity
switch,0.18142237220263696,traffic
switch,0.08577764888748692,m4_hourly
switch,0.03494459290225152,m4_daily
switch,0.03494459290225152,m4_weekly
switch, 0.4045175062727927,solar-energy
Informer,0.0679689861050846,electricity
Informer,0.13412510919939793,traffic
Informer,0.08836627486797691,m4_hourly
Informer,0.031201685692806964,m4_daily
Informer,0.060738383665733635,m4_weekly
Informer,0.1353015227628872,m4_monthly
Informer, 0.5338928795672083,solar-energy
etsformer,0.08121155399731145,electricity
etsformer,0.18038268850520187,traffic
etsformer,0.03954733285898994,m4_hourly
etsformer,0.0342240840183455,m4_daily
etsformer,0.16324424782524308,m4_quarterly
etsformer,0.13386941521428142,m4_monthly
etsformer,0.3995012432539942,solar-energy
xformer,0.07158168295075448,electricity
xformer,0.4227773704541765,traffic
xformer,0.1140850377344126,m4_hourly
xformer,0.02559540798778196,m4_daily
xformer,0.06492910048930038,m4_weekly
xformer,0.10359394933674385,m4_quarterly
xformer,0.12607170045251498,m4_monthly
xformer,0.48845744440305744,solar-energy
favor,0.2551138922807803,electricity
favor,0.42485853702755305,traffic
favor,0.42485853702755305,m4_hourly
favor,0.07147500082979524,m4_weekly
favor,0.15239767931027823,m4_monthly
favor,0.9297590530033555,solar-energy
nystorm,0.24849096215741737,electricity
nystorm,0.30209722906846115,traffic
nystorm,0.11483009701871007,m4_hourly
nystorm,0.0612349078279979,m4_weekly
nystorm,0.12906809062393776,m4_monthly
nystorm,0.10156908948740034,m4_quarterly
linformer,0.22322828508992673,traffic
linformer,0.02557071322434234,m4_daily
linformer,0.06007206634027488,m4_weekly
linformer,0.09494142410565977,m4_quarterly


